Course Name,Student Name,Timestamp,Rating,Comment
Advanced Excel for Beginners in animation for 2022,Agnieszka Powroźnik,2022-07-08 18:53:34+00:00,4.0,
Excel Shortcuts & Hacks for Beginners in 2022,Traquan Germany-Combs,2022-07-08 18:33:27+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Debasis Giri,2022-07-08 17:39:15+00:00,3.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Inês Carolina Fonseca Ribeiro,2022-07-08 05:23:38+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Muhibbullah H,2022-07-07 09:31:31+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Muhibbullah H,2022-07-07 09:29:16+00:00,5.0,this course is very useful to me.
Excel Shortcuts & Hacks for Beginners in 2022,Muhibbullah H,2022-07-07 09:24:26+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Vikas Ashok Kharate,2022-07-07 06:35:22+00:00,5.0,This is good for a new and amazing learning experience. I am delighted to learn this course.
Excel Pivot Tables for Beginners | 2022 in Animation,Enaam Jaloud,2022-07-06 22:03:00+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Sreedevi G S,2022-07-06 10:13:22+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Tushar Kumar,2022-07-06 06:39:18+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Doug Gerhardt,2022-07-05 17:37:38+00:00,4.0,
Excel Shortcuts & Hacks for Beginners in 2022,Manishka Raval,2022-07-05 13:00:03+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Aiswariya,2022-07-05 12:32:54+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Andrea Artin,2022-07-05 11:30:14+00:00,4.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Xiaogang Luo,2022-07-05 10:28:37+00:00,1.0,
Advanced Excel for Beginners in animation for 2022,Parth Mire,2022-07-04 15:01:18+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,SAOULI Hamza,2022-07-04 07:34:55+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Dinesh K,2022-07-04 07:24:08+00:00,3.5,
Advanced Excel for Beginners in animation for 2022,Sneha Tawade,2022-07-04 06:55:10+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Noor Jhan Shaikh,2022-07-03 18:23:59+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Hamza lgg,2022-07-03 13:01:08+00:00,3.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Nouman Aslam,2022-07-02 13:21:00+00:00,4.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Priyanka Shetty,2022-07-01 15:50:56+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Shadril Kumar,2022-07-01 15:04:29+00:00,5.0,GREAT
Excel Pivot Tables for Beginners | 2022 in Animation,Roland Malagas,2022-07-01 14:27:23+00:00,4.0,"Yes, it was a good match for me."
Excel Shortcuts & Hacks for Beginners in 2022,Vidya Karuturi,2022-07-01 13:39:19+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Kristine F. Griffin,2022-07-01 08:22:46+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Onwukwe Emmanuel U.,2022-07-01 08:15:56+00:00,3.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Juan Yofre Fernandez Ferrer,2022-06-30 23:52:53+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Avadhut Patil,2022-06-30 21:48:18+00:00,4.5,
